"UNDSRR9596295_clipped_t10_f2_tr_Rnor_6_sorted","UNDSRR9596296_clipped_t10_f2_tr_Rnor_6_sorted","UNDSRR9596300_clipped_t10_f2_tr_Rnor_6_sorted","UNDSRR9596303_clipped_t10_f2_tr_Rnor_6_sorted","UNDSRR9596304_clipped_t10_f2_tr_Rnor_6_sorted","UNDSRR9596310_clipped_t10_f2_tr_Rnor_6_sorted"
"ENSRNOG00000029897",12.4043157822367,0,9.44518410463208,48.75637421712,17.6535578004345,6.80959732094079
"ENSRNOG00000014303",1837.21699308017,2569.81282950725,2085.02439109753,1587.87651166567,910.715893587123,1342.85259168952
"ENSRNOG00000014330",2016.39044326804,2074.08593163468,2133.03741029608,868.390557002219,860.870553915308,951.981705467522
"ENSRNOG00000049505",62.0215789111836,70.8181282675093,99.1744330986368,51.3918539045319,84.1140106961881,55.8386980317145
"ENSRNOG00000014916",396.938105031575,351.434961527515,280.207128437418,348.542188660223,453.800279928817,366.356335866614
"ENSRNOG00000014996",75.8041520025578,81.4408475076357,104.684123826339,124.526415230212,90.344678155165,72.1817316019723
"ENSRNOG00000015239",147.473532077703,74.3590346808848,124.361590710989,137.703813667271,148.497574438949,227.440550519422
"ENSRNOG00000015552",387.290303867613,131.013537294892,225.110221160398,249.052830460424,93.4600118846535,219.269033734293
"ENSRNOG00000016041",4.13477192741224,16.8193054635335,0,0,0,0
"ENSRNOG00000016054",130.934444368054,163.766921618615,108.619617203269,162.740870697684,265.841811583014,213.821355877541
"ENSRNOG00000016381",49.6172631289469,51.3431429939443,34.6323417169843,59.2982929667676,140.19001782698,69.457892673596
"ENSRNOG00000059137",0,0,0,0,20.768891529923,0
"ENSRNOG00000013160",423.124993905186,412.515597158242,366.787982729879,1031.1314276999,1371.78528555141,1081.3640545654
"ENSRNOG00000023549",392.803333104163,452.350794308716,543.098086016345,202.273066008863,427.839165516414,333.670268726099
"ENSRNOG00000013351",1152.22311043888,1048.99352496248,1190.88029585903,627.903035525883,660.450750651551,852.561584581787
"ENSRNOG00000014258",13.7825730913741,0,0,12.5185285152065,9.34600118846535,17.704953034446
"ENSRNOG00000014290",303.216608010231,207.143025182465,268.400648306628,175.918269134744,166.151132239384,324.136832476781
"ENSRNOG00000014431",409.342420813812,495.726897872565,605.278881371839,256.300399600807,268.957145312503,300.984201585583
"ENSRNOG00000014450",369.372958848827,374.450853214456,354.194403923703,183.165838275127,316.725595831326,472.586054073291
"ENSRNOG00000014852",67.5346081477333,46.0317833738811,25.9742562877382,85.6530898408865,188.996912922299,132.106188026251
"ENSRNOG00000040242",227.412456007673,342.582695494076,188.903682092642,281.337456631219,245.072920053091,287.365006943701
"ENSRNOG00000011058",77.1824093116952,42.4908769605056,51.1614139000904,216.109334367775,235.726918864626,314.603396227464
"ENSRNOG00000014902",4.13477192741224,5.3113596200632,11.0193814554041,0,0,0
"ENSRNOG00000014908",796.632724681425,694.017657021592,685.562946261212,666.776360915209,523.376066554059,631.930631383305
"ENSRNOG00000025587",119.908385894955,102.686285987889,96.8131370724788,119.255455855388,60.2297854367767,43.581422854021
"ENSRNOG00000015217",308.729637246781,312.484990980385,255.019970825066,229.945602726688,104.882902226111,182.497208201213
"ENSRNOG00000015473",12.4043157822367,0,15.7419735077201,37.5555855456195,9.34600118846535,14.9811141060697
"ENSRNOG00000015551",201.225567134062,300.977045136915,206.219852951134,282.655196474925,233.650029711634,283.279248551137
"ENSRNOG00000015660",254.977602190422,255.830488366377,227.471517186556,201.61419608701,273.110923618487,298.260362657206
"ENSRNOG00000046983",28.9434034918857,17.7045320668773,23.6129602615802,17.1306179681773,0,34.0479866047039
"ENSRNOG00000016624",148.851789386841,134.554443708268,152.697143024885,182.506968353274,123.574904603042,202.926000164035
"ENSRNOG00000010753",577.489812528577,539.988228039759,606.853078722611,383.46229451843,337.494487361249,412.661597649012
"ENSRNOG00000011015",2562.18033768645,2253.78693211348,2632.05797049081,1957.50253782518,2111.15782401667,2334.3299616185
"ENSRNOG00000011411",22.0521169461986,30.9829311170353,20.4645655600362,76.4289109349449,109.036680532096,87.1628457080421
"ENSRNOG00000011540",658.806993767684,676.313124954714,687.137143611984,521.166108185702,563.875405037409,471.224134609103
"ENSRNOG00000012103",15.1608304005116,49.5726897872565,11.0193814554041,8.56530898408865,0,31.3241476763276
"ENSRNOG00000056940",412.098935432087,434.646262241839,402.207423122249,487.5637421712,638.643414545132,509.357879606371
"ENSRNOG00000060972",165.39087709649,309.829311170353,240.065095992732,119.255455855388,207.68891529923,145.725382668133
"ENSRNOG00000051450",547.168151727553,462.088286945498,487.214080063938,131.115114448742,107.9982359556,133.468107490439
"ENSRNOG00000059224",272.894947209208,203.602118769089,178.671399312624,100.807098043505,78.9217878137074,250.593181410621
"ENSRNOG00000053347",78.5606666208326,47.8022365805688,88.1550516432328,14.4951382807654,118.382681720561,16.3430335702579
"ENSRNOG00000060603",432.772795069148,418.712183381649,439.201060865392,365.6728066284,451.723390775825,495.738684964489
"ENSRNOG00000053735",6.89128654568707,20.3602118769089,35.4194403923703,17.7894878900303,31.1533372948845,8.17151678512895
"ENSRNOG00000011460",766.311063880402,763.950558685757,823.305214453763,877.61473590816,492.222729259175,557.025060852956
"ENSRNOG00000011994",8.26954385482448,17.7045320668773,12.5935788061761,0,9.34600118846535,42.2195033898329
"ENSRNOG00000049517",71.6693800751455,81.4408475076357,73.9872754862846,83.6764800753276,124.613349179538,103.5058792783
"ENSRNOG00000012074",351.455613830041,334.615656063982,331.368542337509,689.17793825821,788.179433560578,653.721342810316
"ENSRNOG00000012311",27.5651461827483,25.6715714969721,7.87098675386007,84.9942199190335,10.3844457649615,77.629409458725
"ENSRNOG00000012322",115.773613967543,63.7363154407584,129.871281438691,233.898822257805,159.920464780407,93.9724430289829
"ENSRNOG00000031700",59.2650642929088,22.1306650835967,62.9678940308805,84.9942199190335,136.036239520996,117.125073920182
"ENSRNOG00000012701",121.286643204092,112.423778624671,98.3873344232508,183.824708196979,233.650029711634,174.325691416084
"ENSRNOG00000058050",1052.98858418098,831.227780539891,687.137143611984,567.945872637263,328.148486172783,573.368094423214
"ENSRNOG00000013436",118.530128585818,121.27604465811,79.4969662139867,81.0410003879157,60.2297854367767,99.4201208857355
"ENSRNOG00000013969",377.642502703651,336.386109270669,377.020265509897,477.680693343405,409.147163139483,370.442094259179
"ENSRNOG00000014531",519.603005544805,568.315479346762,454.943034373112,293.197115224573,137.074684097492,329.584510333534
"ENSRNOG00000047605",558.194210200653,458.547380532123,422.671988682286,193.048887102921,191.073802075292,370.442094259179
"ENSRNOG00000011134",42.7259765832598,19.4749852735651,24.4000589369662,67.2047320290033,172.381799698361,80.3532483871013
"ENSRNOG00000011245",35.8346900375728,0.885226603343867,3.93549337693003,9.8830488277946,89.3062335786689,39.4956644614566
"ENSRNOG00000011720",59.2650642929088,53.9988228039759,73.2001768108986,81.6998703097687,28.038003565396,59.9244564242789
"ENSRNOG00000033517",452.068397397072,396.581518298052,391.975140342231,441.442847641492,376.955381268102,403.128161399695
"ENSRNOG00000047783",745.637204243341,678.083578161402,789.459971412165,161.423130853978,166.151132239384,351.375221760545
"ENSRNOG00000012346",231.547227935086,225.732783852686,167.652017857219,1458.73800698248,2319.8851838924,1348.30026954628
"ENSRNOG00000013202",63.399836220321,38.9499705471301,55.8840059524065,143.633642963948,87.2293444256766,133.468107490439
"ENSRNOG00000013304",17.9173450187864,36.2942907370985,13.3806774815621,97.51274843424,94.4984564611496,64.0102148168434
"ENSRNOG00000013422",323.890467647292,245.207769126251,195.20047149573,144.292512885801,272.072479041991,243.78358408968
"ENSRNOG00000013791",17.9173450187864,0,3.93549337693003,0,17.6535578004345,0
