"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOG00000005479",18580.0303804516,-2.23759457885927,0.106021150360073,-21.1051716686705,7.12953910852035e-99,1.03920162045793e-94
"ENSRNOG00000021441",3341.68749501098,-3.18239856653364,0.153943794004063,-20.6724706710142,6.12967236578259e-95,4.46730522018235e-91
"ENSRNOG00000016460",21902.6184533425,-2.51135110933447,0.121677038422711,-20.639482534165,1.21354765677528e-94,5.89622354838552e-91
"ENSRNOG00000000805",8125.9864947193,-2.45546486917818,0.121330583849367,-20.2378064233718,4.5497321788071e-91,1.65792240595731e-87
"ENSRNOG00000002919",12539.1612033871,-3.06622976081743,0.153414272107016,-19.9866004557813,7.20397592986696e-89,2.10010306307482e-85
"ENSRNOG00000032871",4209.54716453064,-2.19745337105664,0.112748838161632,-19.4898094462531,1.33979029132163e-84,3.254797214384e-81
"ENSRNOG00000010389",14430.5609894418,-2.09207474855282,0.110633453338274,-18.9099651635756,9.44191259991751e-80,1.96607597223425e-76
"ENSRNOG00000008116",5590.35874019551,-2.17150158555232,0.116802170687984,-18.5912776514497,3.78064011422211e-77,6.88832628811268e-74
"ENSRNOG00000043866",172972.279950835,-2.24513030692234,0.123703083814406,-18.1493479199819,1.2993416489284e-73,2.10435598608671e-70
"ENSRNOG00000007290",18323.0594584432,-2.27235366765852,0.12736817090625,-17.8408282971348,3.40609370925055e-71,4.9647221906036e-68
"ENSRNOG00000018454",65517.8679715359,-2.0626826557182,0.123924226882735,-16.6447086869465,3.30570878325461e-62,4.38036465679265e-59
"ENSRNOG00000002419",18941.5962708711,-2.33392779945295,0.140657930003158,-16.5929343578464,7.83947984698615e-62,9.52235485413918e-59
"ENSRNOG00000016163",13021.7405416136,-1.89418732307408,0.114543717626488,-16.5368067522549,1.99311354280254e-61,2.23474023076076e-58
"ENSRNOG00000049560",24232.9782387027,-1.91437070197078,0.116176897960544,-16.478066944264,5.27445005553441e-61,5.4914560006764e-58
"ENSRNOG00000018627",1417.45290635791,-2.63116177511428,0.161744733666373,-16.2673721454296,1.68223898621524e-59,1.63468769753822e-56
"ENSRNOG00000016516",6741.98432872985,-2.13350005487,0.131223680936672,-16.2584987682187,1.94444067787813e-59,1.77138545754697e-56
"ENSRNOG00000006857",524.855648836889,-4.7350719192692,0.293504248609094,-16.1328905516991,1.49840206143075e-58,1.28474755573027e-55
"ENSRNOG00000011452",11081.5811719439,-1.89924373001195,0.118131178602548,-16.077412859834,3.67404982571458e-58,2.97516390331199e-55
"ENSRNOG00000029886",2926.0713839918,-2.09937108264993,0.130937157560968,-16.0334249021131,7.46524715339436e-58,5.72702328988822e-55
"ENSRNOG00000033261",4518.9112187188,-1.799293559005,0.112446196689445,-16.0013732076177,1.24987554034308e-57,9.10909293802033e-55
"ENSRNOG00000018414",1610.14407768733,-2.66763048411321,0.166778818305196,-15.9950196986742,1.38414518969713e-57,9.60728585001207e-55
"ENSRNOG00000021157",3174.72702194378,-2.23225283370545,0.14366690210694,-15.5376972773022,1.92787056349747e-54,1.27730187879723e-51
"ENSRNOG00000025745",1810.57433369481,-2.77248085768952,0.180143202420261,-15.3904272847416,1.89774949881914e-53,1.20267811716469e-50
"ENSRNOG00000019556",1263.60996178129,-2.36087142961555,0.15366858551795,-15.3633966347648,2.88077669532765e-53,1.74959171296233e-50
"ENSRNOG00000018445",4841.10253013924,-2.26284104071116,0.148370689057184,-15.2512673162759,1.61468445963893e-52,9.35910501041502e-50
"ENSRNOG00000053086",2791.55349604867,-2.12107480152542,0.139095171849414,-15.249090053404,1.66943420877326e-52,9.35910501041502e-50
"ENSRNOG00000016043",6990.71142564659,-2.44154401321433,0.160540099547836,-15.2083125654648,3.11468499313488e-52,1.68146846147904e-49
"ENSRNOG00000015461",3863.34091103956,-2.00890460452736,0.132184179540529,-15.1977688367116,3.65871653002606e-52,1.90462329077357e-49
"ENSRNOG00000030478",6004.78969406516,-2.22850271816149,0.147262428495864,-15.1328668209766,9.8317339841102e-52,4.94163291559967e-49
"ENSRNOG00000008465",1072.43960639255,-2.39051080840583,0.159455040717239,-14.9917544008214,8.31280538218255e-51,4.03891504168976e-48
"ENSRNOG00000007284",1394.25454926109,-2.72054396343735,0.183492616657439,-14.8264492217489,9.88238468989785e-50,4.64663352386939e-47
"ENSRNOG00000017496",5842.12366599937,-2.3070067386312,0.156276399094927,-14.7623489662688,2.56199831314983e-49,1.16699023163975e-46
"ENSRNOG00000058006",470.537144120895,-3.53745941027523,0.241776256463678,-14.6311282258051,1.77813874440774e-48,7.85398495105674e-46
"ENSRNOG00000015550",1259.54049186816,-2.81777654690778,0.192939697674285,-14.6044415994922,2.63129325768864e-48,1.12805089776675e-45
